Year,Date,65+,15-64,15-
1950,31/12/1950,667733,5334206,2175230
1951,31/12/1951,687653,5448730,2283453
1952,31/12/1952,708069,5541045,2383676
1953,31/12/1953,730362,5610486,2478315
1954,31/12/1954,753649,5676889,2572826
1955,31/12/1955,777094,5761641,2671109
1956,31/12/1956,800068,5862023,2767717
1957,31/12/1957,822559,5962064,2859567
1958,31/12/1958,844187,6061090,2947869
1959,31/12/1959,863651,6173215,3028817
1960,31/12/1960,882247,6298603,3105798
1961,31/12/1961,901507,6431860,3172573
1962,31/12/1962,920850,6571202,3219891
1963,31/12/1963,939611,6713234,3264532
1964,31/12/1964,957142,6860641,3313825
1965,31/12/1965,974982,7020703,3363757
1966,31/12/1966,992327,7187188,3413160
1967,31/12/1967,1007554,7348274,3453286
1968,31/12/1968,1021321,7513417,3492530
1969,31/12/1969,1036165,7687270,3544916
1970,31/12/1970,1060188,7910085,3624765
1971,31/12/1971,1093748,8178713,3721376
1972,31/12/1972,1126066,8390299,3783954
1973,31/12/1973,1155646,8549813,3807859
1974,31/12/1974,1185599,8710598,3817195
1975,31/12/1975,1218337,8859162,3809366
1976,31/12/1976,1254208,8997932,3785938
1977,31/12/1977,1290678,9141757,3760930
1978,31/12/1978,1329825,9287338,3738651
1979,31/12/1979,1371811,9429244,3719474
1980,31/12/1980,1414491,9578329,3713509
1981,31/12/1981,1456617,9749340,3724098
1982,31/12/1982,1496790,9932408,3739248
1983,31/12/1983,1534151,10105370,3743558
1984,31/12/1984,1573151,10271189,3735138
1985,31/12/1985,1619303,10446467,3719915
1986,31/12/1986,1673938,10636835,3701526
1987,31/12/1987,1730383,10836684,3692184
1988,31/12/1988,1785016,11039101,3701784
1989,31/12/1989,1837141,11234005,3725440
1990,31/12/1990,1889564,11403622,3754816
1991,31/12/1991,1945126,11541293,3784674
1992,31/12/1992,1998149,11653619,3810732
1993,31/12/1993,2047759,11752110,3831644
1994,31/12/1994,2094583,11858737,3852185
1995,31/12/1995,2140433,11988383,3874186
1996,31/12/1996,2186516,12132090,3893243
1997,31/12/1997,2229804,12273646,3906805
1998,31/12/1998,2270995,12413079,3917592
1999,31/12/1999,2310240,12561036,3929616
2000,31/12/2000,2352249,12721926,3943793
2001,31/12/2001,2400039,12891525,3956582
2002,31/12/2002,2448176,13063492,3964174
2003,31/12/2003,2496934,13233216,3968854
2004,31/12/2004,2548109,13402374,3974578
2005,31/12/2005,2602631,13584172,3984928
2006,31/12/2006,2663043,13796230,4007758
2007,31/12/2007,2730868,14051772,4048191
2008,31/12/2008,2806076,14341243,4100556
2009,31/12/2009,2891584,14616574,4152741
2010,31/12/2010,2987166,14835953,4196047
2011,31/12/2011,3093586,15022057,4241390
2012,31/12/2012,3210609,15214698,4303966
2013,31/12/2013,3328302,15409437,4374050
2014,31/12/2014,3441757,15589395,4438426
2015,31/12/2015,3555144,15762938,4502159
2016,31/12/2016,3671897,15953415,4570393
2017,31/12/2017,3791463,16163477,4635396
2018,31/12/2018,3913951,16374139,4691137
2019,31/12/2019,4039888,16580952,4736328
2020,31/12/2020,4167170,16743212,4759671
2021,31/12/2021,4294906,16863620,4762568
2022,31/12/2022,4424527,16993816,4759067
2023,31/12/2023,4556661,17128784,4753668
